lr-AdamW,step,loss,global_step,epoch
0.0001,49,,,
,49,0.6154694557189941,49.0,0
0.0001,99,,,
,99,0.3437665104866028,99.0,0
0.0001,149,,,
,149,0.21716523170471191,149.0,1
0.0001,199,,,
,199,0.1698617935180664,199.0,1
0.0001,249,,,
,249,0.15624797344207764,249.0,2
0.0001,299,,,
,299,0.14419227838516235,299.0,2
0.0001,349,,,
,349,0.1291651725769043,349.0,2
0.0001,399,,,
,399,0.12630346417427063,399.0,3
0.0001,449,,,
,449,0.12265489995479584,449.0,3
0.0001,499,,,
,499,0.11508843302726746,499.0,4
0.0001,549,,,
,549,0.10988165438175201,549.0,4
0.0001,599,,,
,599,0.10545380413532257,599.0,5
0.0001,649,,,
,649,0.10342049598693848,649.0,5
0.0001,699,,,
,699,0.10311414301395416,699.0,5
0.0001,749,,,
,749,0.10249197483062744,749.0,6
0.0001,799,,,
,799,0.1016412302851677,799.0,6
0.0001,849,,,
,849,0.09734493494033813,849.0,7
0.0001,899,,,
,899,0.0984368771314621,899.0,7
0.0001,949,,,
,949,0.09963070601224899,949.0,8
0.0001,999,,,
,999,0.09463013708591461,999.0,8
0.0001,1049,,,
,1049,0.09759625047445297,1049.0,8
0.0001,1099,,,
,1099,0.09515771269798279,1099.0,9
0.0001,1149,,,
,1149,0.10062145441770554,1149.0,9
0.0001,1199,,,
,1199,0.09001680463552475,1199.0,10
0.0001,1249,,,
,1249,0.09440784156322479,1249.0,10
0.0001,1299,,,
,1299,0.09271477162837982,1299.0,11
0.0001,1349,,,
,1349,0.09442555904388428,1349.0,11
0.0001,1399,,,
,1399,0.09475712478160858,1399.0,11
0.0001,1449,,,
,1449,0.09024380147457123,1449.0,12
0.0001,1499,,,
,1499,0.0943295881152153,1499.0,12
0.0001,1549,,,
,1549,0.09085449576377869,1549.0,13
0.0001,1599,,,
,1599,0.08957311511039734,1599.0,13
0.0001,1649,,,
,1649,0.09228208661079407,1649.0,13
0.0001,1699,,,
,1699,0.0894642099738121,1699.0,14
0.0001,1749,,,
,1749,0.0880204290151596,1749.0,14
0.0001,1799,,,
,1799,0.09085668623447418,1799.0,15
0.0001,1849,,,
,1849,0.09486272931098938,1849.0,15
0.0001,1899,,,
,1899,0.09055657684803009,1899.0,16
0.0001,1949,,,
,1949,0.09179960191249847,1949.0,16
0.0001,1999,,,
,1999,0.08982175588607788,1999.0,16
0.0001,2049,,,
,2049,0.08884278684854507,2049.0,17
0.0001,2099,,,
,2099,0.09054137766361237,2099.0,17
0.0001,2149,,,
,2149,0.09090617299079895,2149.0,18
0.0001,2199,,,
,2199,0.08918996900320053,2199.0,18
0.0001,2249,,,
,2249,0.08823968470096588,2249.0,19
0.0001,2299,,,
,2299,0.09109822660684586,2299.0,19
0.0001,2349,,,
,2349,0.0864354819059372,2349.0,19
